Song_Id,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
3226,78.0,51.0,43.0,69.0,0.0,14.0,9.0
3227,70.0,60.0,64.24366041896361,4.0,0.0,16.0,3.0
3229,91.0,79.0,66.0,32.0,0.0,9.0,16.0
3230,93.0,68.0,65.0,42.0,0.0,12.0,25.0
3231,79.0,82.0,64.24366041896361,28.0,0.0,4.0,9.0
3234,79.0,48.0,84.0,13.0,0.0,21.0,23.0
3236,68.0,83.0,81.0,9.0,0.0,8.0,4.0
3244,58.0,44.0,57.0,57.0,0.0,10.0,3.0
3245,66.0,43.0,76.0,49.0,0.0,12.0,3.0
3254,28.0,13.0,41.0,50.0,0.0,19.0,3.0
3262,50.5,72.5,59.0,58.0,0.0,19.0,7.550772626931567
3264,58.0,27.0,36.0,86.0,0.0,9.0,3.0
3276,84.0,49.0,72.0,8.0,1.6225165562913908,15.0,8.0
3279,73.0,66.0,80.0,44.0,0.0,9.0,12.0
3283,47.0,50.0,80.0,10.0,0.0,32.0,38.0
3288,74.0,43.0,69.0,12.0,0.0,12.0,7.0
3293,37.0,17.0,47.0,2.0,46.0,11.0,3.0
3301,75.0,79.0,63.0,33.0,0.0,15.0,4.0
3304,54.0,25.0,74.0,14.0,0.0,9.0,11.0
3305,34.0,32.0,57.0,78.0,0.0,20.0,10.101545253863135
3306,72.0,45.0,66.5,19.497243660418963,0.0,14.059050772626932,12.550772626931568
3313,70.0,76.0,79.0,26.0,0.0,11.0,7.0
3316,47.0,33.0,83.0,18.0,0.0,10.0,5.0
3319,70.0,64.5,72.5,4.0,0.0,38.0,7.5
3320,79.0,51.439293598233995,46.0,5.0,0.0,11.0,7.0
3329,50.0,37.0,90.0,26.994487320837926,0.0,12.0,5.0
3330,66.0,19.0,61.0,30.0,0.0,9.0,7.0
3331,35.0,12.0,64.24366041896361,93.0,0.0,18.118101545253865,10.101545253863135
3335,40.0,39.0,64.0,21.0,0.0,7.0,7.0
3336,45.0,35.0,68.0,78.0,0.0,39.0,8.0
3337,70.0,92.0,59.0,3.0,0.0,10.0,3.0
3340,77.5,55.5,67.0,1.0,0.0,10.5,5.0
3346,75.0,74.0,58.0,36.0,1.6225165562913908,9.0,3.0
3347,72.0,22.0,46.0,24.0,0.0,9.0,6.0
3354,95.0,91.0,89.0,6.0,0.0,31.0,24.0
3362,55.0,58.0,72.0,11.0,0.0,11.0,15.0
3364,81.0,59.0,90.0,5.0,0.0,36.0,3.0
3366,52.0,68.0,69.0,13.0,0.0,33.0,8.0
3367,59.0,44.0,64.24366041896361,80.0,0.0,6.0,10.101545253863135
3370,51.0,66.0,53.0,60.0,0.0,11.0,18.0
3380,82.0,52.0,61.0,38.0,0.0,14.0,27.0
3383,70.0,46.0,76.0,30.0,0.0,9.0,45.0
3388,79.0,79.0,84.0,2.0,0.0,5.0,5.0
3389,46.0,43.0,43.0,23.0,8.0,8.0,22.0
3395,67.0,47.0,76.0,28.0,23.5,19.0,5.0
3398,82.0,73.0,45.0,54.0,0.0,7.0,10.101545253863135
3402,66.94701986754967,32.0,64.24366041896361,81.0,0.0,11.0,3.0
3404,70.0,81.0,63.0,4.0,0.0,18.118101545253865,4.0
3405,74.0,59.0,64.24366041896361,26.994487320837926,0.0,8.0,5.0
